"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Lawrence Township","8,235","12","0","2","","0","10","106","39","64","3","1"
"Lebanon","20,560","18","0","7","","3","8","454","39","400","15",""
"Liberty Township","11,825","17","0","4","","4","9","178","54","116","8","0"
"Lima","38,265","353","3","40","","71","239","1,868","592","1,201","75","26"
"Lisbon","2,755","6","0","1","","0","5","36","8","25","3","0"
"Lithopolis","1,256","0","0","0","","0","0","19","9","10","0","0"
"Lockland","3,434","40","4","4","","15","17","210","60","142","8","0"
"Lodi","2,789","11","0","","1","0","10","90","20","69","1","0"
"Logan","7,139","21","0","8","","1","12","315","48","262","5","1"
"London","9,996","14","0","6","","1","7","250","35","209","6","1"
"Lorain","63,619","245","0","38","","92","115","2,619","881","1,655","83","19"
"Loudonville","2,620","9","1","3","","1","4","72","9","63","0","1"
"Louisville","9,150","12","0","3","","1","8","203","41","154","8","2"
"Loveland","12,387","8","0","1","","1","6","139","23","112","4","2"
"Madison Township, Franklin County","17,948","19","1","5","","7","6","233","92","132","9","0"
"Mansfield","46,145","210","3","40","","87","80","3,174","901","2,127","146","26"
"Mariemont","3,375","1","0","","0","0","1","58","8","49","1","0"
"Marietta","14,051","10","0","3","","1","6","137","18","115","4","0"
"Marion","36,765","99","2","27","","39","31","1,549","630","881","38","10"
"Martins Ferry","6,815","16","0","4","","1","11","98","21","73","4","1"
"Marysville","22,460","11","0","1","","4","6","222","35","182","5","0"
"Mason","31,416","11","0","7","","1","3","379","32","336","11","1"
"Massillon","32,196","85","1","13","","28","43","1,094","281","777","36","2"
"Matamoras","884","1","1","0","","0","0","26","4","22","0","0"
"Maumee","14,062","17","0","3","","7","7","563","39","509","15","2"
"McArthur","1,688","1","0","0","","0","1","30","10","19","1","0"
"McConnelsville","1,814","7","0","1","","2","4","32","9","23","0","0"
"Medina","26,551","21","0","3","","11","7","389","50","339","0","1"
"Mentor-on-the-Lake","7,450","10","0","3","","2","5","68","12","55","1","0"
"Miamisburg","20,109","34","0","9","","13","12","386","84","284","18","2"
"Miami Township, Clermont County","41,746","30","2","9","","9","10","634","87","532","15","4"
"Miami Township, Montgomery County","29,102","29","2","8","","9","10","1,167","141","994","32","0"
"Middlefield","2,715","0","0","0","","0","0","40","2","38","0","0"
