"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Troy","3,456","5","0","","0","1","4","87","27","57","3","0"
"Tryon","1,638","0","0","","0","0","0","32","18","13","1","0"
"Valdese","4,468","4","0","","0","2","2","77","10","64","3","0"
"Vass","739","0","0","","0","0","0","29","6","22","1","0"
"Wadesboro","5,665","56","2","","2","10","42","402","111","272","19","2"
"Wake Forest","35,956","56","1","","3","9","43","738","89","630","19","0"
"Wallace","4,040","21","0","","1","5","15","229","56","165","8","7"
"Warsaw","3,231","6","0","","0","0","6","107","27","78","2","1"
"Washington","9,826","75","0","","2","18","55","671","122","534","15","2"
"Waxhaw","11,678","7","1","","0","1","5","121","25","96","0","1"
"Waynesville","9,712","29","0","","5","4","20","332","101","218","13","2"
"Weaverville","3,899","4","0","","1","2","1","191","15","171","5","0"
"Weldon","1,604","28","5","","0","3","20","59","18","38","3","1"
"Wendell","6,200","12","0","","0","4","8","128","25","97","6","0"
"Whispering Pines","3,099","0","0","","0","0","0","18","7","11","0","0"
"Whitakers","735","3","1","","0","2","0","16","4","12","0","0"
"White Lake","789","2","0","","0","0","2","46","9","37","0","0"
"Whiteville","5,654","83","1","","0","18","64","721","211","477","33","5"
"Wilkesboro","3,433","14","0","","1","2","11","311","11","295","5","1"
"Williamston","5,345","84","2","","3","16","63","394","105","282","7","9"
"Wilmington","113,418","766","18","","36","237","475","5,172","1,343","3,475","354","17"
"Wilson","49,731","265","4","","5","89","167","1,901","434","1,376","91","4"
"Wilson's Mills","2,411","6","0","","1","1","4","47","22","21","4","0"
"Windsor","3,439","5","0","","1","0","4","68","18","49","1","0"
"Wingate","3,737","13","0","","0","2","11","75","26","47","2","2"
"Winston-Salem","238,082","1,696","13","","77","428","1,178","12,896","3,724","8,467","705","77"
"Winterville","9,594","12","0","","0","4","8","161","35","119","7","0"
"Woodfin","6,262","13","0","","1","3","9","97","49","43","5","0"
"Wrightsville Beach","2,570","10","0","","1","2","7","223","53","169","1","0"
"Yadkinville","2,949","6","0","","1","0","5","114","20","89","5","0"
"Zebulon","4,626","23","0","","0","6","17","331","54","269","8","4"
