"City","Population","Violent crime","Murder and nonnegligent manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motor vehicle theft","Arson1"
"Freeville Village","508","0","0","0","0","0","9","3","6","0","0"
"Friendship Town","1,888","5","0","0","1","4","14","5","8","1","0"
"Fulton City","11,556","22","0","2","6","14","513","42","464","7","3"
"Garden City Village","21,755","8","0","1","2","5","328","37","279","12","1"
"Gates Town","28,754","61","0","3","30","28","1,047","106","867","74","1"
"Geddes Town","10,747","5","0","0","1","4","195","30","160","5","3"
"Geneseo Village","7,830","8","0","5","0","3","241","22","217","2","0"
"Geneva","13,545","36","0","7","11","18","362","89","271","2","0"
"Germantown Town","2,040","0","0","0","0","0","1","0","1","0","0"
"Glen Cove","26,704","30","1","1","13","15","273","54","203","16","2"
"Glen Park Village","499","0","0","0","0","0","0","0","0","0","0"
"Glens Falls","14,146","26","0","2","8","16","616","79","529","8","0"
"Glenville Town","20,988","11","0","1","2","8","317","55","251","11","0"
"Gloversville","15,324","55","0","6","6","43","585","94","459","32"," "
"Goshen Town","8,325","2","0","0","1","1","81","14","59","8","1"
"Goshen Village","5,452","6","0","0","1","5","113","12","98","3","0"
"Gouverneur Village","4,138","9","1","0","0","8","189","36","148","5","0"
"Gowanda Village","2,723","6","0","2","0","4","74","16","56","2","0"
"Granville Village","2,630","3","1","0","0","2","44","14","29","1","0"
"Great Neck Estates Village","2,745","1","0","0","1","0","5","2","2","1","0"
"Greece Town","94,233","97","2","12","40","43","2,321","255","1,954","112","3"
"Greenburgh Town","43,354","36","0","0","19","17","780","80","652","48","0"
"Greene Village","1,695","0","0","0","0","0","4","0","4","0","0"
"Green Island Village","2,579","4","0","0","2","2","58","13","40","5","1"
"Greenport Town","4,147","5","0","0","0","5","71","6","65","0","0"
"Greenwich Village","1,891","1","0","0","0","1","34","12","19","3","0"
"Greenwood Lake Village","3,470","4","0","0","1","3","38","2","34","2","0"
"Groton Village","2,439","0","0","0","0","0","55","5","49","1","0"
"Guilderland Town","33,078","9","0","0","4","5","791","52","730","9","4"
"Hamburg Town","44,390","5","0","0","0","5","259","40","206","13","0"
"Hamburg Village","9,663","17","0","2","4","11","224","42","178","4","0"
"Hamilton Village","3,560","0","0","0","0","0","23","1","22","0","0"
"Hancock Village","1,142","0","0","0","0","0","10","4","6","0","0"
"Harriman Village","2,290","2","0","1","0","1","47","9","35","3","1"
"Harrison Town","25,896","28","0","2","3","23","305","45","250","10","2"
"Hastings-on-Hudson Village","7,723","22","0","0","2","20","120","14","103","3","2"
"Haverstraw Town","24,463","93","0","5","35","53","562","118","428","16","4"
"Hempstead Village","52,970","326","4","10","181","131","950","220","551","179","3"
"Herkimer Village","7,283","88","0","14","5","69","427","65","362","0","0"
"Highland Falls Village","3,771","0","0","0","0","0","7","3","4","0","0"
"Homer Village","3,312","0","0","0","0","0","62","8","54","0","0"
"Hoosick Falls Village","3,359","21","0","1","0","20","65","12","52","1","0"
"Hornell","8,785","51","0","7","0","44","230","34","196","0","1"
"Horseheads Village","6,383","6","0","2","2","2","151","12","137","2","0"
"Hudson Falls Village","6,882","6","0","0","0","6","106","17","82","7","0"
"Huntington Bay Village","1,497","0","0","0","0","0","4","0","4","0","0"
"Hyde Park Town","20,922","1","0","0","1","0","93","17","66","10"," "
"Ilion Village","8,352","20","0","2","1","17","126","32","88","6","1"
"Irondequoit Town","51,209","93","1","8","42","42","1,618","205","1,291","122","6"
"Irvington Village","6,633","1","0","0","0","1","40","8","30","2","1"
"Ithaca","29,846","62","0","4","28","30","1,167","147","995","25","0"
"Jamestown","30,462","170","0","21","35","114","1,206","365","795","46","10"
"Johnson City Village","14,995","88","0","11","21","56","801","106","678","17","3"
"Johnstown","8,595","12","0","2","0","10","301","32","258","11","0"
"Jordan Village","1,350","0","0","0","0","0","13","3","10","0","0"
"Kenmore Village","15,597","32","0","3","21","8","297","46","240","11","2"
"Kensington Village","1,198","0","0","0","0","0","0","0","0","0","0"
"Kent Town","14,438","5","0","0","0","5","121","34","83","4","1"
"Kings Point Village","5,271","1","0","0","0","1","12","0","10","2","0"
"Kingston","23,129","89","1","11","43","34","798","147","625","26","4"
"Kirkland Town","8,293","7","0","0","1","6","112","17","91","4","0"
"Lackawanna","18,224","87","0","5","14","68","453","124","298","31","5"
"Lake Placid Village","2,764","4","0","0","0","4","63","8","54","1","2"
"Lake Success Village","2,832","1","0","0","1","0","75","5","62","8","0"
"Lakewood-Busti","7,598","6","0","1","3","2","175","29","146","0","0"
"Lancaster Town","23,212","16","1","1","5","9","475","70","396","9","1"
"Larchmont Village","6,504","3","0","0","0","3","99","13","82","4","0"
"Le Roy Village","4,301","5","0","1","1","3","207","7","198","2","1"
"Lewisboro Town","12,516","0","0","0","0","0","60","1","57","2","0"
"Lewiston Town and Village","16,677","9","0","2","1","6","166","29","128","9","0"
"Liberty Village","3,934","33","0","2","7","24","188","39","142","7","2"
