"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Rockleigh","531","1","0","","0","0","1","1","0","1","0","0"
"Roseland","5,912","1","0","","0","0","1","48","8","33","7","0"
"Roselle","21,388","65","0","","1","28","36","444","151","239","54","3"
"Roselle Park","13,593","8","0","","1","1","6","104","28","67","9","1"
"Roxbury Township","23,599","7","0","","1","2","4","315","48","260","7","0"
"Rumson","7,021","2","0","","0","2","0","49","6","40","3","1"
"Runnemede","8,459","13","0","","0","6","7","223","50","160","13","0"
"Rutherford","18,291","9","0","","0","2","7","285","58","216","11","1"
"Saddle Brook Township","14,152","6","0","","0","2","4","286","33","240","13","0"
"Saddle River","3,190","1","0","","0","0","1","34","17","15","2","0"
"Salem","5,175","54","3","","3","15","33","313","89","219","5","2"
"Sayreville","44,174","38","1","","1","14","22","535","121","386","28","4"
"Scotch Plains Township","23,914","19","0","","1","5","13","188","48","136","4","0"
"Sea Bright","1,381","1","0","","0","0","1","43","3","39","1","0"
"Sea Girt","1,796","0","0","","0","0","0","23","7","16","0","0"
"Sea Isle City","2,093","3","0","","1","1","1","355","110","241","4","0"
"Seaside Heights","2,892","30","0","","1","7","22","209","38","169","2","0"
"Seaside Park","1,589","3","0","","0","2","1","33","7","26","0","0"
"Secaucus","19,119","18","0","","0","7","11","506","38","427","41","0"
"Ship Bottom","1,159","1","0","","0","0","1","45","5","38","2","0"
"Shrewsbury","3,941","3","0","","0","1","2","64","7","53","4","0"
"Somerdale","5,276","14","0","","2","4","8","334","43","287","4","2"
