"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Manor","6,137","15","0","","3","0","12","95","22","68","5","1"
"Mansfield","60,179","80","1","","16","23","40","1,042","181","812","49","0"
"Manvel","6,381","6","0","","0","0","6","110","54","44","12","0"
"Marble Falls","6,095","28","0","9","","4","15","362","40","313","9","1"
"Marlin","5,847","17","0","","2","2","13","47","18","26","3","1"
"Marshall","25,169","141","3","","18","16","104","1,078","242","792","44","8"
"Martindale","1,145","4","0","","0","0","4","6","4","1","1","0"
"Mathis","4,989","25","0","","2","0","23","135","44","85","6","0"
"McAllen","136,169","171","2","","6","83","80","5,424","536","4,652","236","15"
"McGregor","5,036","7","0","","1","1","5","76","14","60","2","0"
"McKinney","146,869","207","1","52","","44","110","3,055","476","2,450","129","26"
"Meadows Place","4,721","7","0","","0","4","3","126","23","93","10","0"
"Melissa","5,839","1","1","","0","0","0","65","20","41","4","0"
"Memorial Villages","11,660","5","0","","2","2","1","113","26","81","6","0"
"Memphis","2,232","6","0","","1","0","5","25","8","15","2","0"
"Mercedes","16,480","106","0","","5","13","88","796","132","623","41","1"
"Meridian","1,484","0","0","","0","0","0","1","0","1","0","0"
"Merkel","2,608","5","0","","0","0","5","34","14","18","2","0"
"Mesquite","144,313","402","6","","14","204","178","6,332","1,382","4,184","766","11"
"Mexia","7,544","42","1","","2","6","33","328","77","248","3","1"
"Midland","122,259","350","5","","22","63","260","3,191","568","2,459","164","1"
"Midlothian","19,425","25","0","","3","5","17","361","70","275","16","1"
"Mineola","4,485","19","0","","0","3","16","188","31","154","3","0"
"Mineral Wells","16,717","55","0","","5","16","34","872","221","610","41","2"
"Mission","81,360","72","0","","4","32","36","2,945","447","2,321","177","20"
"Missouri City","69,487","72","0","","5","35","32","1,151","186","889","76","0"
"Monahans","7,163","30","0","","3","1","26","185","57","127","1","3"
"Mont Belvieu","4,366","9","0","","2","1","6","121","12","84","25","0"
"Montgomery","670","1","0","","0","0","1","16","5","10","1","0"
"Morgans Point Resort","4,257","2","0","","0","0","2","40","14","26","0","0"
"Moulton","898","1","0","","0","0","1","10","3","7","0","0"
"Mount Pleasant","16,101","41","0","","0","8","33","661","155","486","20","7"
"Muleshoe","5,121","4","0","","0","0","4","51","10","39","2","0"
"Munday","1,331","2","0","","0","0","2","10","3","6","1","0"
"Murphy","19,347","4","0","0","","1","3","122","11","111","0","0"
"Mustang Ridge","939","0","0","","0","0","0","16","4","10","2","0"
"Nacogdoches","34,413","97","1","","3","31","62","1,126","257","828","41","2"
"Naples","1,357","1","0","","0","0","1","50","31","18","1","0"
"Nash","3,076","9","0","","0","0","9","67","25","39","3","1"
"Nassau Bay","4,092","17","0","","3","1","13","101","18","77","6","0"
"Navasota","7,239","77","0","","1","2","74","219","53","143","23","2"
"Nederland","17,464","58","2","","4","11","41","493","112","349","32","3"
"Needville","2,879","11","0","","1","0","10","22","6","15","1","0"
"New Boston","4,507","9","0","","1","1","7","221","53","161","7","0"
"New Braunfels","61,651","147","3","","16","24","104","2,153","351","1,673","129","11"
"Nocona","2,996","2","0","","1","1","0","25","9","13","3","0"
"Nolanville","4,483","22","0","","0","1","21","76","21","55","0","1"
"Northlake","1,897","7","0","","1","0","6","36","6","27","3","1"
"North Richland Hills","65,899","157","1","","21","35","100","1,637","283","1,276","78","3"
"Oak Ridge","168","2","0","","0","0","2","0","0","0","0","0"
"Odessa","108,265","1,080","2","","56","143","879","4,374","764","3,147","463","13"
"O'Donnell","809","0","0","","0","0","0","2","0","0","2","0"
"Olmos Park","2,314","1","0","","0","1","0","52","7","41","4","0"
"Olney","3,221","3","0","","0","0","3","40","9","30","1","2"
"Olton","2,234","8","0","","0","0","8","21","11","10","0","0"
"Omaha","1,012","3","0","","0","2","1","21","10","10","1","0"
"Onalaska","1,724","16","0","","2","8","6","62","19","37","6","2"
"Orange","19,057","111","4","","1","30","76","577","236","299","42","0"
"Orange Grove","1,357","1","0","","0","0","1","15","5","10","0","0"
"Overton","2,580","7","0","","2","0","5","61","21","39","1","0"
"Ovilla","3,535","4","0","","0","1","3","33","7","25","1","1"
"Oyster Creek","1,124","14","1","","0","0","13","50","19","27","4","0"
"Paducah","1,164","2","0","","1","0","1","3","2","1","0","0"
