"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson1"
"Painted Post Village","1,817","1","0","0","0","1","49","4","43","2","0"
"Peekskill","23,689","34","0","2","9","23","216","37","169","10","0"
"Pelham Village","6,941","4","0","0","3","1","135","7","120","8","0"
"Penn Yan Village","5,182","0","0","0","0","0","113","15","98","0","0"
"Perry Village","3,690","6","0","1","1","4","99","20","75","4","0"
"Phelps Village","1,998","0","0","0","0","0","3","0","3","0","0"
"Piermont Village","2,521","0","0","0","0","0","36","1","35","0","0"
"Pine Plains Town","2,484","0","0","0","0","0","6","1","5","0","0"
"Plattekill Town","10,546","7","0","0","2","5","126","54","68","4","0"
"Plattsburgh City","20,079","26","1","4","3","18","545","79","459","7",""
"Pleasantville Village","7,051","0","0","0","0","0","0","0","0","0","0"
"Port Byron Village","1,296","0","0","0","0","0","0","0","0","0","0"
"Port Chester Village","29,097","77","1","2","45","29","882","85","740","57","0"
"Port Dickinson Village","1,648","1","0","0","0","1","18","4","12","2","0"
"Port Jervis","8,868","18","1","1","7","9","296","62","227","7","2"
"Portville Village","1,019","1","0","0","0","1","3","0","3","0","0"
"Port Washington","18,991","0","0","0","0","0","126","18","106","2","0"
"Potsdam Village","9,470","13","1","4","1","7","235","23","206","6","0"
"Poughkeepsie","32,883","326","5","22","107","192","1,029","283","693","53","9"
"Poughkeepsie Town","38,511","37","0","0","12","25","1,353","106","1,236","11","1"
"Pulaski Village","2,376","5","0","1","0","4","81","14","67","0","0"
"Quogue Village","971","1","0","0","0","1","20","8","11","1","0"
"Ramapo Town","84,431","110","0","3","24","83","883","119","740","24","3"
"Red Hook Village","1,970","0","0","0","0","0","53","7","45","1","0"
"Rensselaer City","9,434","17","0","7","2","8","214","51","154","9","1"
"Rhinebeck Village","2,669","1","0","0","0","1","30","5","25","0","0"
"Riverhead Town","33,657","75","0","3","18","54","974","168","784","22","1"
"Rochester","211,511","2,029","31","95","755","1,148","10,934","3,384","6,849","701","177"
"Rockville Centre Village","24,131","20","0","0","13","7","319","52","252","15","0"
"Rome","33,877","26","1","1","9","15","441","109","311","21","1"
"Rosendale Town","6,102","5","0","0","0","5","56","10","44","2","0"
"Rotterdam Town","29,225","12","0","0","2","10","823","109","691","23","2"
"Rouses Point Village","2,219","0","0","0","0","0","15","5","10","0","0"
"Rushford Town","1,155","0","0","0","0","0","8","3","5","0","0"
"Rye","15,791","1","0","0","1","0","180","14","163","3","0"
"Rye Brook Village","9,389","2","0","0","0","2","91","11","78","2","0"
"Sag Harbor Village","2,179","2","0","1","0","1","58","0","58","0","0"
"Salamanca","5,841","25","0","1","3","21","264","59","198","7","1"
"Sands Point Village","2,687","0","0","0","0","0","7","1","6","0","0"
"Saranac Lake Village","5,430","7","0","0","0","7","108","29","77","2","0"
"Saratoga Springs","26,705","20","0","1","4","15","608","78","524","6","0"
"Saugerties Town","19,570","15","0","2","1","12","381","118","252","11","1"
"Scarsdale Village","17,243","2","0","0","0","2","142","19","121","2","0"
"Schenectady","66,432","633","4","43","204","382","3,098","904","2,011","183","24"
"Schodack Town","11,308","3","0","0","0","3","92","30","58","4","0"
"Schoharie Village","926","0","0","0","0","0","10","1","9","0","0"
"Scotia Village","7,764","8","0","0","1","7","139","15","121","3","0"
"Seneca Falls Village","6,711","3","0","0","1","2","77","10","67","0","0"
"Shandaken Town","3,099","2","0","0","0","2","87","32","54","1","0"
"Shawangunk Town","14,396","6","0","0","0","6","104","32","67","5","0"
"Sherburne Village","1,373","0","0","0","0","0","7","1","6","0","0"
"Sherrill","3,085","1","0","0","1","0","36","6","30","0","0"
"Shortsville Village","1,445","0","0","0","0","0","1","0","1","0","0"
"Sidney Village","3,918","15","0","3","2","10","165","33","131","1","0"
"Silver Creek Village","2,668","6","0","0","0","6","40","1","39","0","1"
"Skaneateles Village","2,461","0","0","0","0","0","6","0","6","0","0"
"Sleepy Hollow Village","9,914","6","0","0","4","2","107","19","77","11","2"
"Sodus Point Village","904","0","0","0","0","0","10","2","8","0","0"
"Sodus Village","1,827","0","0","0","0","0","28","5","23","0","0"
"Solvay Village","6,614","12","0","0","3","9","216","52","162","2","0"
"Southampton Village","3,123","3","0","1","1","1","146","19","123","4","0"
"South Glens Falls Village","3,534","4","0","0","2","2","84","14","67","3","0"
"South Nyack Village","3,526","5","0","1","0","4","39","8","30","1","0"
"Southold Town","19,860","20","0","2","2","16","445","108","329","8","1"
"Spring Valley Village","31,488","160","0","10","59","91","477","80","375","22","1"
"Stillwater Town","6,578","0","0","0","0","0","17","5","12","0","0"
"St. Johnsville Village","1,740","5","0","0","0","5","34","4","28","2","0"
"Stockport Town","2,828","0","0","0","0","0","14","5","9","0","0"
"Stony Point Town","15,127","10","0","0","4","6","151","28","122","1","0"
"Suffern Village","10,771","5","0","2","0","3","64","11","50","3","0"
"Syracuse","145,822","1,302","11","63","388","840","5,275","1,705","3,261","309","60"
"Tarrytown Village","11,328","8","0","1","3","4","115","20","91","4","1"
"Ticonderoga Town","5,065","22","0","7","0","15","163","48","108","7","2"
"Tonawanda","15,198","26","0","1","2","23","390","41","338","11","4"
"Tonawanda Town","58,406","104","0","9","32","63","1,036","215","781","40","4"
"Troy","50,354","371","0","23","112","236","2,318","775","1,442","101","5"
"Trumansburg Village","1,805","0","0","0","0","0","43","9","32","2","0"
"Tuckahoe Village","6,515","3","0","0","1","2","7","1","6","0","0"
"Tupper Lake Village","3,683","10","0","1","0","9","104","23","80","1","0"
"Tuxedo Park Village","626","0","0","0","0","0","0","0","0","0","0"
"Tuxedo Town","3,014","0","0","0","0","0","0","0","0","0","0"
"Ulster Town","12,382","22","1","2","7","12","518","42","468","8","0"
"Utica","62,515","382","4","17","102","259","2,501","615","1,809","77","5"
"Vernon Village","1,177","1","0","0","0","1","18","5","12","1","0"
"Vestal Town","28,169","15","0","0","6","9","598","42","549","7","0"
"Walden Village","7,009","20","0","2","1","17","90","14","72","4","0"
"Wallkill Town","27,549","23","0","5","8","10","804","83","701","20","2"
"Walton Village","3,102","5","0","2","1","2","40","17","23","0","0"
"Wappingers Falls Village","5,547","7","0","0","4","3","131","13","114","4","0"
"Warsaw Village","3,489","6","0","1","0","5","60","3","57","0","0"
"Waterford Town and Village","8,461","0","0","0","0","0","56","14","41","1","1"
"Waterloo Village","5,194","21","0","1","1","19","166","26","138","2","2"
"Watertown","27,144","89","1","9","15","64","1,119","158","847","114","9"
"Watervliet","10,300","26","0","0","10","16","230","33","185","12","2"
"Watkins Glen Village","1,867","2","0","0","0","2","73","6","65","2","1"
"Waverly Village","4,464","3","0","1","0","2","119","16","97","6","1"
"Wayland Village","1,873","0","0","0","0","0","27","1","26","0","0"
"Webster Town and Village","42,833","25","4","2","7","12","456","64","378","14","1"
"Weedsport Village","1,823","0","0","0","0","0","15","0","15","0","0"
"Wellsville Village","4,700","19","0","0","1","18","186","18","166","2","0"
"Westfield Village","3,238","1","0","0","0","1","24","6","15","3","0"
"Westhampton Beach Village","1,729","2","0","0","0","2","40","3","37","0","0"
"West Seneca Town","44,912","49","1","3","15","30","900","176","684","40","3"
"Whitehall Village","2,626","5","0","2","0","3","43","8","35","0","1"
"White Plains","57,109","87","1","3","29","54","1,265","46","1,182","37","2"
"Whitesboro Village","3,789","7","0","0","0","7","30","6","24","0","0"
"Whitestown Town","9,199","1","0","0","0","1","102","22","77","3","0"
"Windham Town","1,711","0","0","0","0","0","24","3","20","1","0"
"Wolcott Village","1,709","0","0","0","0","0","2","0","2","0","0"
"Woodbury Town","10,734","3","1","0","2","0","298","16","270","12","0"
"Woodstock Town","5,910","3","0","0","2","1","63","16","46","1","0"
"Yonkers","196,857","992","7","35","463","487","3,068","753","2,017","298","15"
"Yorktown Town","36,243","22","0","0","4","18","460","52","400","8","2"
"Youngstown Village","1,944","0","0","0","0","0","10","3","7","0","0"
